,Time,GSR
117,01-12-2021 15:25:54.979000,0.471473
118,01-12-2021 15:25:55.229000,0.471473
119,01-12-2021 15:25:55.479000,0.4701919
120,01-12-2021 15:25:55.729000,0.4701919
121,01-12-2021 15:25:55.979000,0.4701919
122,01-12-2021 15:25:56.229000,0.4701919
123,01-12-2021 15:25:56.479000,0.4701919
124,01-12-2021 15:25:56.729000,0.4701919
125,01-12-2021 15:25:56.979000,0.4701919
126,01-12-2021 15:25:57.229000,0.4689107
127,01-12-2021 15:25:57.479000,0.4701919
128,01-12-2021 15:25:57.729000,0.4701919
129,01-12-2021 15:25:57.979000,0.471473
130,01-12-2021 15:25:58.229000,0.471473
131,01-12-2021 15:25:58.479000,0.4689107
132,01-12-2021 15:25:58.729000,0.4689107
133,01-12-2021 15:25:58.979000,0.4663484
134,01-12-2021 15:25:59.229000,0.4676295
135,01-12-2021 15:25:59.479000,0.4676295
136,01-12-2021 15:25:59.729000,0.4676295
137,01-12-2021 15:25:59.979000,0.4689107
138,01-12-2021 15:26:00.229000,0.4689107
139,01-12-2021 15:26:00.479000,0.4689107
140,01-12-2021 15:26:00.729000,0.4689107
141,01-12-2021 15:26:00.979000,0.471473
142,01-12-2021 15:26:01.229000,0.471473
143,01-12-2021 15:26:01.479000,0.4689107
144,01-12-2021 15:26:01.729000,0.4689107
145,01-12-2021 15:26:01.979000,0.4689107
146,01-12-2021 15:26:02.229000,0.4701919
147,01-12-2021 15:26:02.479000,0.4689107
148,01-12-2021 15:26:02.729000,0.4701919
149,01-12-2021 15:26:02.979000,0.4727542
150,01-12-2021 15:26:03.229000,0.4701919
151,01-12-2021 15:26:03.479000,0.4701919
152,01-12-2021 15:26:03.729000,0.4701919
153,01-12-2021 15:26:03.979000,0.4701919
154,01-12-2021 15:26:04.229000,0.4727542
155,01-12-2021 15:26:04.479000,0.4701919
156,01-12-2021 15:26:04.729000,0.4701919
157,01-12-2021 15:26:04.979000,0.4701919
158,01-12-2021 15:26:05.229000,0.4701919
159,01-12-2021 15:26:05.479000,0.471473
160,01-12-2021 15:26:05.729000,0.4727542
161,01-12-2021 15:26:05.979000,0.471473
162,01-12-2021 15:26:06.229000,0.4727542
163,01-12-2021 15:26:06.479000,0.4727542
164,01-12-2021 15:26:06.729000,0.4740354
165,01-12-2021 15:26:06.979000,0.471473
166,01-12-2021 15:26:07.229000,0.4740354
167,01-12-2021 15:26:07.479000,0.4740354
168,01-12-2021 15:26:07.729000,0.4740354
169,01-12-2021 15:26:07.979000,0.4740354
170,01-12-2021 15:26:08.229000,0.4740354
171,01-12-2021 15:26:08.479000,0.4753166
172,01-12-2021 15:26:08.729000,0.4740354
173,01-12-2021 15:26:08.979000,0.4740354
174,01-12-2021 15:26:09.229000,0.4740354
175,01-12-2021 15:26:09.479000,0.4753166
176,01-12-2021 15:26:09.729000,0.4740354
177,01-12-2021 15:26:09.979000,0.4740354
178,01-12-2021 15:26:10.229000,0.4740354
179,01-12-2021 15:26:10.479000,0.4753166
180,01-12-2021 15:26:10.729000,0.4753166
181,01-12-2021 15:26:10.979000,0.4753166
182,01-12-2021 15:26:11.229000,0.4765978
183,01-12-2021 15:26:11.479000,0.4753166
184,01-12-2021 15:26:11.729000,0.4753166
185,01-12-2021 15:26:11.979000,0.4753166
186,01-12-2021 15:26:12.229000,0.4740354
187,01-12-2021 15:26:12.479000,0.4740354
188,01-12-2021 15:26:12.729000,0.4740354
189,01-12-2021 15:26:12.979000,0.4753166
190,01-12-2021 15:26:13.229000,0.4753166
191,01-12-2021 15:26:13.479000,0.4740354
192,01-12-2021 15:26:13.729000,0.4753166
193,01-12-2021 15:26:13.979000,0.4765978
194,01-12-2021 15:26:14.229000,0.4765978
195,01-12-2021 15:26:14.479000,0.471473
196,01-12-2021 15:26:14.729000,0.4689107
197,01-12-2021 15:26:14.979000,0.4676295
198,01-12-2021 15:26:15.229000,0.4676295
199,01-12-2021 15:26:15.479000,0.4676295
200,01-12-2021 15:26:15.729000,0.4701919
201,01-12-2021 15:26:15.979000,0.4676295
202,01-12-2021 15:26:16.229000,0.4689107
203,01-12-2021 15:26:16.479000,0.4676295
204,01-12-2021 15:26:16.729000,0.4689107
205,01-12-2021 15:26:16.979000,0.4689107
206,01-12-2021 15:26:17.229000,0.4689107
207,01-12-2021 15:26:17.479000,0.471473
208,01-12-2021 15:26:17.729000,0.4701919
209,01-12-2021 15:26:17.979000,0.4727542
210,01-12-2021 15:26:18.229000,0.4701919
211,01-12-2021 15:26:18.479000,0.4701919
212,01-12-2021 15:26:18.729000,0.471473
213,01-12-2021 15:26:18.979000,0.4701919
214,01-12-2021 15:26:19.229000,0.4701919
215,01-12-2021 15:26:19.479000,0.4689107
216,01-12-2021 15:26:19.729000,0.4689107
217,01-12-2021 15:26:19.979000,0.4689107
218,01-12-2021 15:26:20.229000,0.4701919
219,01-12-2021 15:26:20.479000,0.4689107
220,01-12-2021 15:26:20.729000,0.4701919
221,01-12-2021 15:26:20.979000,0.4701919
222,01-12-2021 15:26:21.229000,0.4689107
223,01-12-2021 15:26:21.479000,0.4676295
224,01-12-2021 15:26:21.729000,0.4663484
225,01-12-2021 15:26:21.979000,0.4663484
226,01-12-2021 15:26:22.229000,0.4676295
227,01-12-2021 15:26:22.479000,0.4663484
228,01-12-2021 15:26:22.729000,0.4676295
229,01-12-2021 15:26:22.979000,0.4701919
230,01-12-2021 15:26:23.229000,0.4701919
231,01-12-2021 15:26:23.479000,0.4689107
232,01-12-2021 15:26:23.729000,0.4689107
233,01-12-2021 15:26:23.979000,0.4701919
234,01-12-2021 15:26:24.229000,0.4676295
235,01-12-2021 15:26:24.479000,0.4663484
236,01-12-2021 15:26:24.729000,0.4663484
237,01-12-2021 15:26:24.979000,0.4727542
238,01-12-2021 15:26:25.229000,0.4676295
239,01-12-2021 15:26:25.479000,0.4663484
240,01-12-2021 15:26:25.729000,0.4663484
241,01-12-2021 15:26:25.979000,0.4663484
242,01-12-2021 15:26:26.229000,0.4676295
243,01-12-2021 15:26:26.479000,0.4663484
244,01-12-2021 15:26:26.729000,0.4650671
245,01-12-2021 15:26:26.979000,0.4676295
246,01-12-2021 15:26:27.229000,0.4663484
247,01-12-2021 15:26:27.479000,0.4663484
248,01-12-2021 15:26:27.729000,0.4663484
249,01-12-2021 15:26:27.979000,0.4663484
250,01-12-2021 15:26:28.229000,0.4676295
251,01-12-2021 15:26:28.479000,0.4689107
252,01-12-2021 15:26:28.729000,0.4689107
253,01-12-2021 15:26:28.979000,0.4676295
254,01-12-2021 15:26:29.229000,0.4676295
255,01-12-2021 15:26:29.479000,0.4663484
256,01-12-2021 15:26:29.729000,0.4676295
257,01-12-2021 15:26:29.979000,0.4676295
258,01-12-2021 15:26:30.229000,0.4676295
259,01-12-2021 15:26:30.479000,0.4676295
260,01-12-2021 15:26:30.729000,0.4689107
261,01-12-2021 15:26:30.979000,0.4701919
262,01-12-2021 15:26:31.229000,0.4676295
263,01-12-2021 15:26:31.479000,0.4701919
264,01-12-2021 15:26:31.729000,0.4701919
265,01-12-2021 15:26:31.979000,0.4689107
266,01-12-2021 15:26:32.229000,0.4701919
267,01-12-2021 15:26:32.479000,0.4701919
268,01-12-2021 15:26:32.729000,0.4701919
269,01-12-2021 15:26:32.979000,0.4701919
270,01-12-2021 15:26:33.229000,0.4701919
271,01-12-2021 15:26:33.479000,0.4689107
272,01-12-2021 15:26:33.729000,0.4701919
273,01-12-2021 15:26:33.979000,0.4701919
274,01-12-2021 15:26:34.229000,0.4701919
275,01-12-2021 15:26:34.479000,0.4701919
276,01-12-2021 15:26:34.729000,0.471473
277,01-12-2021 15:26:34.979000,0.4701919
278,01-12-2021 15:26:35.229000,0.471473
279,01-12-2021 15:26:35.479000,0.471473
280,01-12-2021 15:26:35.729000,0.471473
281,01-12-2021 15:26:35.979000,0.4727542
282,01-12-2021 15:26:36.229000,0.4727542
283,01-12-2021 15:26:36.479000,0.4701919
284,01-12-2021 15:26:36.729000,0.4701919
285,01-12-2021 15:26:36.979000,0.4701919
286,01-12-2021 15:26:37.229000,0.471473
287,01-12-2021 15:26:37.479000,0.4701919
288,01-12-2021 15:26:37.729000,0.4701919
289,01-12-2021 15:26:37.979000,0.4906907
290,01-12-2021 15:26:38.229000,0.4727542
291,01-12-2021 15:26:38.479000,0.471473
292,01-12-2021 15:26:38.729000,0.4753166
293,01-12-2021 15:26:38.979000,0.4753166
294,01-12-2021 15:26:39.229000,0.4753166
295,01-12-2021 15:26:39.479000,0.4765978
296,01-12-2021 15:26:39.729000,0.4753166
297,01-12-2021 15:26:39.979000,0.4740354
298,01-12-2021 15:26:40.229000,0.4753166
299,01-12-2021 15:26:40.479000,0.4753166
300,01-12-2021 15:26:40.729000,0.4945342
301,01-12-2021 15:26:40.979000,0.4753166
302,01-12-2021 15:26:41.229000,0.4753166
303,01-12-2021 15:26:41.479000,0.4753166
304,01-12-2021 15:26:41.729000,0.4753166
305,01-12-2021 15:26:41.979000,0.4740354
306,01-12-2021 15:26:42.229000,0.4727542
307,01-12-2021 15:26:42.479000,0.4727542
308,01-12-2021 15:26:42.729000,0.4727542
309,01-12-2021 15:26:42.979000,0.4727542
310,01-12-2021 15:26:43.229000,0.4727542
311,01-12-2021 15:26:43.479000,0.4727542
312,01-12-2021 15:26:43.729000,0.4727542
313,01-12-2021 15:26:43.979000,0.4727542
314,01-12-2021 15:26:44.229000,0.4727542
315,01-12-2021 15:26:44.479000,0.4727542
316,01-12-2021 15:26:44.729000,0.4727542
317,01-12-2021 15:26:44.979000,0.4740354
318,01-12-2021 15:26:45.229000,0.4727542
319,01-12-2021 15:26:45.479000,0.4727542
320,01-12-2021 15:26:45.729000,0.4727542
321,01-12-2021 15:26:45.979000,0.4753166
322,01-12-2021 15:26:46.229000,0.4727542
323,01-12-2021 15:26:46.479000,0.4727542
324,01-12-2021 15:26:46.729000,0.4753166
325,01-12-2021 15:26:46.979000,0.4740354
326,01-12-2021 15:26:47.229000,0.4740354
327,01-12-2021 15:26:47.479000,0.4740354
328,01-12-2021 15:26:47.729000,0.4740354
329,01-12-2021 15:26:47.979000,0.4765978
330,01-12-2021 15:26:48.229000,0.4740354
331,01-12-2021 15:26:48.479000,0.4740354
332,01-12-2021 15:26:48.729000,0.4740354
333,01-12-2021 15:26:48.979000,0.4740354
334,01-12-2021 15:26:49.229000,0.4740354
335,01-12-2021 15:26:49.479000,0.4740354
336,01-12-2021 15:26:49.729000,0.4753166
337,01-12-2021 15:26:49.979000,0.4740354
338,01-12-2021 15:26:50.229000,0.4765978
339,01-12-2021 15:26:50.479000,0.4740354
340,01-12-2021 15:26:50.729000,0.4765978
341,01-12-2021 15:26:50.979000,0.4740354
342,01-12-2021 15:26:51.229000,0.4753166
343,01-12-2021 15:26:51.479000,0.4753166
344,01-12-2021 15:26:51.729000,0.4778789
345,01-12-2021 15:26:51.979000,0.4778789
346,01-12-2021 15:26:52.229000,0.4778789
347,01-12-2021 15:26:52.479000,0.4778789
348,01-12-2021 15:26:52.729000,0.4765978
349,01-12-2021 15:26:52.979000,0.4778789
350,01-12-2021 15:26:53.229000,0.4778789
351,01-12-2021 15:26:53.479000,0.4778789
352,01-12-2021 15:26:53.729000,0.4791601
353,01-12-2021 15:26:53.979000,0.4778789
354,01-12-2021 15:26:54.229000,0.4765978
355,01-12-2021 15:26:54.479000,0.4765978
356,01-12-2021 15:26:54.729000,0.4778789
357,01-12-2021 15:26:54.979000,0.4778789
358,01-12-2021 15:26:55.229000,0.4778789
359,01-12-2021 15:26:55.479000,0.4753166
360,01-12-2021 15:26:55.729000,0.4753166
361,01-12-2021 15:26:55.979000,0.4753166
362,01-12-2021 15:26:56.229000,0.4753166
363,01-12-2021 15:26:56.479000,0.4740354
364,01-12-2021 15:26:56.729000,0.4740354
365,01-12-2021 15:26:56.979000,0.4753166
366,01-12-2021 15:26:57.229000,0.4932531
367,01-12-2021 15:26:57.479000,0.471473
368,01-12-2021 15:26:57.729000,0.471473
369,01-12-2021 15:26:57.979000,0.471473
370,01-12-2021 15:26:58.229000,0.4701919
371,01-12-2021 15:26:58.479000,0.471473
372,01-12-2021 15:26:58.729000,0.4701919
373,01-12-2021 15:26:58.979000,0.471473
374,01-12-2021 15:26:59.229000,0.4701919
375,01-12-2021 15:26:59.479000,0.4701919
376,01-12-2021 15:26:59.729000,0.4701919
377,01-12-2021 15:26:59.979000,0.4701919
378,01-12-2021 15:27:00.229000,0.4701919
379,01-12-2021 15:27:00.479000,0.4701919
380,01-12-2021 15:27:00.729000,0.4701919
381,01-12-2021 15:27:00.979000,0.4701919
382,01-12-2021 15:27:01.229000,0.471473
383,01-12-2021 15:27:01.479000,0.4701919
384,01-12-2021 15:27:01.729000,0.4701919
385,01-12-2021 15:27:01.979000,0.471473
386,01-12-2021 15:27:02.229000,0.471473
387,01-12-2021 15:27:02.479000,0.471473
388,01-12-2021 15:27:02.729000,0.4740354
389,01-12-2021 15:27:02.979000,0.4727542
390,01-12-2021 15:27:03.229000,0.4740354
391,01-12-2021 15:27:03.479000,0.4727542
392,01-12-2021 15:27:03.729000,0.4740354
393,01-12-2021 15:27:03.979000,0.4727542
394,01-12-2021 15:27:04.229000,0.4727542
395,01-12-2021 15:27:04.479000,0.4727542
396,01-12-2021 15:27:04.729000,0.4727542
397,01-12-2021 15:27:04.979000,0.4701919
398,01-12-2021 15:27:05.229000,0.4701919
399,01-12-2021 15:27:05.479000,0.471473
400,01-12-2021 15:27:05.729000,0.4740354
401,01-12-2021 15:27:05.979000,0.4740354
402,01-12-2021 15:27:06.229000,0.471473
403,01-12-2021 15:27:06.479000,0.4701919
404,01-12-2021 15:27:06.729000,0.4753166
405,01-12-2021 15:27:06.979000,0.471473
406,01-12-2021 15:27:07.229000,0.4701919
407,01-12-2021 15:27:07.479000,0.4740354
408,01-12-2021 15:27:07.729000,0.4753166
409,01-12-2021 15:27:07.979000,0.4753166
410,01-12-2021 15:27:08.229000,0.4727542
411,01-12-2021 15:27:08.479000,0.471473
412,01-12-2021 15:27:08.729000,0.471473
413,01-12-2021 15:27:08.979000,0.4727542
414,01-12-2021 15:27:09.229000,0.4740354
415,01-12-2021 15:27:09.479000,0.4727542
416,01-12-2021 15:27:09.729000,0.4740354
417,01-12-2021 15:27:09.979000,0.4740354
418,01-12-2021 15:27:10.229000,0.4727542
419,01-12-2021 15:27:10.479000,0.4727542
420,01-12-2021 15:27:10.729000,0.4740354
421,01-12-2021 15:27:10.979000,0.4753166
422,01-12-2021 15:27:11.229000,0.471473
423,01-12-2021 15:27:11.479000,0.471473
424,01-12-2021 15:27:11.729000,0.4701919
425,01-12-2021 15:27:11.979000,0.4701919
426,01-12-2021 15:27:12.229000,0.471473
427,01-12-2021 15:27:12.479000,0.4676295
428,01-12-2021 15:27:12.729000,0.4676295
429,01-12-2021 15:27:12.979000,0.4676295
430,01-12-2021 15:27:13.229000,0.4701919
431,01-12-2021 15:27:13.479000,0.4689107
432,01-12-2021 15:27:13.729000,0.4689107
433,01-12-2021 15:27:13.979000,0.471473
434,01-12-2021 15:27:14.229000,0.471473
435,01-12-2021 15:27:14.479000,0.4701919
436,01-12-2021 15:27:14.729000,0.471473
437,01-12-2021 15:27:14.979000,0.471473
438,01-12-2021 15:27:15.229000,0.471473
439,01-12-2021 15:27:15.479000,0.4701919
440,01-12-2021 15:27:15.729000,0.4689107
441,01-12-2021 15:27:15.979000,0.4689107
442,01-12-2021 15:27:16.229000,0.4689107
443,01-12-2021 15:27:16.479000,0.4689107
444,01-12-2021 15:27:16.729000,0.4689107
445,01-12-2021 15:27:16.979000,0.4689107
446,01-12-2021 15:27:17.229000,0.4689107
447,01-12-2021 15:27:17.479000,0.4689107
448,01-12-2021 15:27:17.729000,0.4689107
449,01-12-2021 15:27:17.979000,0.4676295
450,01-12-2021 15:27:18.229000,0.4676295
451,01-12-2021 15:27:18.479000,0.4689107
452,01-12-2021 15:27:18.729000,0.4701919
453,01-12-2021 15:27:18.979000,0.4663484
454,01-12-2021 15:27:19.229000,0.4663484
455,01-12-2021 15:27:19.479000,0.4663484
456,01-12-2021 15:27:19.729000,0.4663484
457,01-12-2021 15:27:19.979000,0.4663484
458,01-12-2021 15:27:20.229000,0.4663484
459,01-12-2021 15:27:20.479000,0.4663484
460,01-12-2021 15:27:20.729000,0.4676295
461,01-12-2021 15:27:20.979000,0.4676295
462,01-12-2021 15:27:21.229000,0.4689107
463,01-12-2021 15:27:21.479000,0.4701919
464,01-12-2021 15:27:21.729000,0.4689107
465,01-12-2021 15:27:21.979000,0.4689107
466,01-12-2021 15:27:22.229000,0.4689107
467,01-12-2021 15:27:22.479000,0.4689107
468,01-12-2021 15:27:22.729000,0.4689107
469,01-12-2021 15:27:22.979000,0.4676295
470,01-12-2021 15:27:23.229000,0.4676295
471,01-12-2021 15:27:23.479000,0.4676295
472,01-12-2021 15:27:23.729000,0.4676295
473,01-12-2021 15:27:23.979000,0.4689107
474,01-12-2021 15:27:24.229000,0.4663484
475,01-12-2021 15:27:24.479000,0.4689107
476,01-12-2021 15:27:24.729000,0.4701919
477,01-12-2021 15:27:24.979000,0.4689107
478,01-12-2021 15:27:25.229000,0.4689107
479,01-12-2021 15:27:25.479000,0.4689107
480,01-12-2021 15:27:25.729000,0.4689107
481,01-12-2021 15:27:25.979000,0.4701919
482,01-12-2021 15:27:26.229000,0.4727542
